file	recordId	recordNumber	recordIndex	byteOffset	fieldIndex	tag	sourceFieldNumber	fieldByteOffset	indicatorIndex	subfieldIndex	problemByteOffset	reportLine	message
rsl03_z00.dat	001204621	1204651	1204650	1019842606	8	080	10	1019842887				362	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204621	1204651	1204650	1019842606	18	337	21	1019843490				362	Поле 337 содержит 1 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204622	1204652	1204651	1019843519	8	080	10	1019843799				363	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204623	1204653	1204652	1019845097	8	080	10	1019845379				364	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204624	1204654	1204653	1019846197	8	080	10	1019846478				365	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204624	1204654	1204653	1019846197	15	336	18	1019846850				365	Поле 336 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204624	1204654	1204653	1019846197	16	337	19	1019846880				365	Поле 337 содержит 1 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204625	1204655	1204654	1019846911	8	080	10	1019847194				366	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204626	1204656	1204655	1019847991	16	700	18	1019848768				367	Поле 700 содержит 1 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204626	1204656	1204655	1019847991	17	912	19	1019848811				367	Поле 912 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204627	1204657	1204656	1019848942	8	080	10	1019849224				368	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204628	1204658	1204657	1019850528	8	080	10	1019850809				369	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204629	1204659	1204658	1019852349	8	080	10	1019852630				370	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204630	1204660	1204659	1019854151	8	080	10	1019854432				371	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204631	1204661	1204660	1019856042	8	080	10	1019856323				372	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204632	1204662	1204661	1019857597	8	080	10	1019857878				373	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204633	1204663	1204662	1019858352	8	080	10	1019858632				374	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204634	1204664	1204663	1019859870	8	080	10	1019860153				375	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204635	1204665	1204664	1019861153	8	080	10	1019861434				376	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204635	1204665	1204664	1019861153	13	520	15	1019861613				376	Поле 520 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204636	1204666	1204665	1019861894	8	080	10	1019862175				377	Поле 080 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204636	1204666	1204665	1019861894	11	260	13	1019862269				377	Поле 260 содержит 0 индикатор(а), ожидалось 2.
rsl03_z00.dat	001204636	1204666	1204665	1019861894	13	520	15	1019862350				377	Поле 520 содержит 1 индикатор(а), ожидалось 2.
